,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,District Code,School Code,Charter Number,Charter Fund Type,Local Educational Agency,District Type,"County Office of Education LCFF State Aid 
(0000-8011)
A-1","School District LCFF State Aid
 (0000-8011)
A-2","Charter School LCFF State Aid
 (0000-8011)
A-3","School District Basic Aid ""Choice""
 (0000-8011)
A-4","School District Basic Aid Court-Ordered Voluntary Pupil Transfer 
(0000-8011)
A-5","School District Basic Aid Open Enrollment 
(0000-8011)
A-6","School District Basic Aid Supplement Charter School Adjustment 
(0000-8011)
A-7","Adults in Correctional Facilities 
(6015-8311)
A-8","Special Education 
AB 602
(6500-8311)
A-9","Special Education
Infants 0-2 
(6510-8311)
A-10","Special Education
Mental Health Services
(6546-8590)
A-11","Special Education
Early Intervention Preschool Grant
(6547-8590)
A-12","Expanded Learning Opportunities Program
(2600-8590)
A-13","Transfer of Funds for County Served District Funded ADA
(0000-7142 for districts and 0000-8710 for COEs)
A-14","Other State Aid (Ch.44/2021, Ch.48/2023, and 38/2024) (7810-8590)
A-15","Home-to-School Transportation Reimbursement
(0000-8590)
A-16","Proposition 28: Arts and Music In Schools (6770-8590)
A-17","LCFF Equity Multiplier (7399-8590)
A-18","Student Support and Enrichment Block Grant (6018-8590) 
A-19","New or Expanding Charter Advance Payments 
(0000-8011)
A-20","School District Advance Payments of In-lieu of Property Tax Transfers for New or Expanding Charter Schools 
(0000-8011)
A-21","Amount Charter Overpaid
A-22","PY Amount Charter Overpaid
A-23","Adjustments and PY Recomputations
A-24","Total Principal Apportionment
(Sum of A-1 through A-24)
B-1","EPA Entitlement
(1400-8012)
C-1","Total of LCFF State Aid and EPA Entitlement
(A-1 + A-2 + A-3 + C-1)
D-1",Payment Type,Notes
01,61192,0137646,0836,D,Impact Academy of Arts & Technology,UNIFIED, - , - ," 4,431,483 ", - , - , - , - , - , - , - ," 55,360 ", - ," 126,729 ", - , - , - ," 114,906 ", - , - , - , - , - , - ," 14,974 "," 4,743,452 "," 1,579,209 "," 6,010,692 ", 1 , - 
01,61200,0000000,N/A,N/A,Livermore Valley Joint Unified,UNIFIED, - ," 58,876,394 ", - , - , - , - , - , - , - , - ," 1,021,679 "," 587,431 "," 2,954,932 ", - , - ," 1,510,458 "," 1,644,304 ", - , - , - , - , - , - , (231)," 66,594,967 "," 2,473,098 "," 61,349,492 ", 1 , - 
01,61218,0000000,N/A,N/A,Mountain House Elementary,ELEMENTARY, - ," 196,668 ", - , - , - , - , - , - , - , - ," 1,141 ", - ," 50,000 ", - , - , - ," 1,728 "," 50,535 ", - , - , - , - , - , - ," 300,072 "," 3,400 "," 200,068 ", 1 , - 
01,61234,0000000,N/A,N/A,Newark Unified,UNIFIED, - ," 18,320,384 ", - , - , - , - , - , - , - , - ," 362,960 "," 167,067 "," 2,060,097 ", - , - ," 246,831 "," 685,416 "," 115,503 ", - , - , - , - , - ," 90,063 "," 22,048,321 "," 941,060 "," 19,261,444 ", 1 , - 
01,61242,0000000,N/A,N/A,New Haven Unified,UNIFIED, - ," 60,300,462 ", - , - , - , - , - , - , - , - ," 786,429 "," 436,531 "," 4,176,378 ", - , - ," 995,645 "," 1,526,858 "," 552,163 ", - , - , - , - , - ," 976,282 "," 69,750,748 "," 19,363,662 "," 79,664,124 ", 1 , - 
01,61259,0000000,N/A,N/A,Oakland Unified,UNIFIED, - ," 256,500,027 ", - , - , - , - , - , - ," 25,948,908 ", - ," 2,537,159 "," 2,285,051 "," 39,794,639 "," (24,609)", - ," 3,867,457 "," 5,834,385 "," 4,976,976 ", - , - , - , - , - ," (2,463,174)"," 339,256,819 "," 45,583,397 "," 302,083,424 ", 1 , - 
01,61259,0100065,0510,D,Oakland Unity High,UNIFIED, - , - ," 2,966,601 ", - , - , - , - , - , - , - ," 23,210 ", - , - , - , - , - ," 54,482 ", - , - , - , - , - , - ," 14,703 "," 3,058,996 "," 662,083 "," 3,628,684 ", 1 , - 
01,61259,0106906,0661,D,Bay Area Technology,UNIFIED, - , - ," 2,187,376 ", - , - , - , - , - , - , - ," 18,687 ", - ," 52,015 ", - , - , - ," 51,401 ", - , - , - , - , - , - ," 15,062 "," 2,324,541 "," 497,291 "," 2,684,667 ", 1 , - 
01,61259,0108944,0700,D,Lighthouse Community Charter High,UNIFIED, - , - ," 2,779,324 ", - , - , - , - , - , - , - ," 21,435 ", - , - , - , - , - ," 53,161 ", - , - , - , - , - , - ," 14,043 "," 2,867,963 "," 611,456 "," 3,390,780 ", 1 , - 
01,61259,0109819,0726,D,Aspire Berkley Maynard Academy,UNIFIED, - , - ," 3,933,802 ", - , - , - , - , - , - , - ," 38,369 ", - ," 760,894 ", - , - , - ," 83,937 ", - , - , - , - , - , - ," 24,338 "," 4,841,340 "," 917,144 "," 4,850,946 ", 1 , - 
